Variable,VIF
median_income,5.694189668093339
housing_median_age,7.126772754671975
latitude,790.4903194173285
longitude,780.8236469426944
ocean_proximity_INLAND,2.5775651600492093
ocean_proximity_ISLAND,1.0011003279558075
ocean_proximity_NEAR BAY,1.6562941387868786
ocean_proximity_NEAR OCEAN,1.2955254462995318
